#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
IGHV3-48--IGHG3	483	0.988	0.653	0.432	3'-IGHG3-chr14-105769103-0.034	5'-IGHV3-48-chr14-106538344-0.831
RET--KIF5B	134	1.0	0.999	0.281	3'-KIF5B-chr10-32017142-0.123	5'-RET-chr10-43116730-0.439
FGFR3--TACC3	104	1.0	0.995	0.412	3'-TACC3-chr4-1744625-0.183	5'-FGFR3-chr4-1806936-0.642
CCDC6--RET	77	1.0	0.991	0.232	3'-RET-chr10-43119674-0.252	5'-CCDC6-chr10-59906120-0.213
EML4--ALK	66	1.0	0.992	0.398	3'-ALK-chr2-29223530-0.717	5'-EML4-chr2-42295520-0.079
TPM3--NTRK1	68	0.917	0.999	0.165	3'-NTRK1-chr1-156876172-0.316	5'-TPM3-chr1-154170399-0.013
ETV6--NTRK3	44	1.0	0.99	0.503	3'-NTRK3-chr15-87940756-0.978	5'-ETV6-chr12-11869969-0.029
SMIM10L1--PRR4	6	1.0	1.0	0.144	3'-PRR4-chr12-10848409-0.273	5'-SMIM10L1-chr12-11171421-0.015
FUBP1--KDM4C	3	1.0	1.0	0.004	3'-KDM4C-chr9-6817711-0.004	5'-FUBP1-chr1-77974884-0.003
PRR4--CEP350	3	1.0	1.0	0.071	3'-CEP350-chr1-180054502-0.006	5'-PRR4-chr12-10848409-0.136
RPS10--KLHL28	3	1.0	1.0	0.013	3'-KLHL28-chr14-44926881-0.025	5'-RPS10-chr6-34423686-0.0
MACC1--PAX5	3	1.0	1.0	0.003	3'-PAX5-chr9-36834433-0.002	5'-MACC1-chr7-20140482-0.004
EEF1A1--CPNE8	3	0.942	1.0	0.002	3'-CPNE8-chr12-38738944-0.004	5'-EEF1A1-chr6-73517544-0.0
SNX29--TAF15	3	1.0	0.825	0.005	3'-TAF15-chr17-35827940-0.007	5'-SNX29-chr16-12029650-0.002
CARMIL1--LRCH1	3	0.928	0.825	0.003	3'-LRCH1-chr13-46674170-0.003	5'-CARMIL1-chr6-25393289-0.003
