#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
EIF3K--CYP39A1	64	1.0	0.877	0.269	3'-CYP39A1-chr6-46639669-0.471	5'-EIF3K-chr19-38632678-0.067
PRRC2B--FUBP3	44	1.0	0.867	0.351	3'-FUBP3-chr9-130609950-0.415	5'-PRRC2B-chr9-131394263-0.288
HELZ--ARHGAP12	31	0.996	0.525	0.257	3'-ARHGAP12-chr10-31837847-0.226	5'-HELZ-chr17-67239431-0.287
ST3GAL4--FAM118B	9	1.0	1.0	0.048	3'-FAM118B-chr11-126250504-0.08	5'-ST3GAL4-chr11-126355842-0.016
FOSL2--BRE	8	1.0	0.757	0.059	3'-BRE-chr2-28237198-0.04	5'-FOSL2-chr2-28393822-0.078
E2F3--PKD2	9	1.0	0.689	0.152	3'-PKD2-chr4-88036216-0.184	5'-E2F3-chr6-20403832-0.12
MDH1--LINC01278	5	1.0	1.0	0.093	3'-LINC01278-chrX-63399903-0.179	5'-MDH1-chr2-63599292-0.008
FTH1--COPS6	4	1.0	0.744	0.002	3'-COPS6-chr7-100089011-0.003	5'-FTH1-chr11-61967631-0.0
ST3GAL1--WISP1	4	1.0	0.906	0.056	3'-WISP1-chr8-133211541-0.1	5'-ST3GAL1-chr8-133545772-0.012
HNRNPL--FTH1	5	1.0	0.79	0.015	3'-FTH1-chr11-61967449-0.0	5'-HNRNPL-chr19-38849940-0.029
C1R--DOPEY2	4	1.0	1.0	0.135	3'-DOPEY2-chr21-36230950-0.267	5'-C1R-chr12-7088608-0.003
ZFP36L1--MIRLET7BHG	3	1.0	1.0	0.057	3'-MIRLET7BHG-chr22-46086469-0.111	5'-ZFP36L1-chr14-68788583-0.003
RAP2C--MBNL3	3	1.0	1.0	0.413	3'-MBNL3-chrX-132429810-0.75	5'-RAP2C-chrX-132218838-0.077
GSPT1--FTH1	3	1.0	0.817	0.009	3'-FTH1-chr11-61967450-0.0	5'-GSPT1-chr16-11915952-0.019
SRR--HIC1	3	1.0	0.925	0.129	3'-HIC1-chr17-2059849-0.188	5'-SRR-chr17-2303846-0.07
AKR1B10--ARHGAP29	2	1.0	1.0	0.001	3'-ARHGAP29-chr1-94172784-0.002	5'-AKR1B10-chr7-134527935-0.0
TMEM79--BTRC	2	1.0	1.0	0.103	3'-BTRC-chr10-101510132-0.105	5'-TMEM79-chr1-156285619-0.1
HCG27--MAP4K4	2	1.0	0.988	0.172	3'-MAP4K4-chr2-101891987-0.01	5'-HCG27-chr6-31204110-0.333
COQ10B--CASP2	2	1.0	1.0	0.029	3'-CASP2-chr7-143307695-0.034	5'-COQ10B-chr2-197474401-0.024
DBR1--SCAF11	2	1.0	1.0	0.019	3'-SCAF11-chr12-45921482-0.012	5'-DBR1-chr3-138161586-0.026
FTH1--UBE2K	2	1.0	1.0	0.002	3'-UBE2K-chr4-39778628-0.004	5'-FTH1-chr11-61967631-0.0
PPAT--FIP1L1	2	1.0	0.988	0.02	3'-FIP1L1-chr4-53977603-0.009	5'-PPAT-chr4-56395218-0.031
FBXW11--NPM1	2	1.0	1.0	0.006	3'-NPM1-chr5-171410903-0.0	5'-FBXW11-chr5-172006862-0.013
LINC00472--OGFRL1	2	1.0	1.0	0.038	3'-OGFRL1-chr6-71302267-0.049	5'-LINC00472-chr6-71420148-0.027
MTURN--PRDX5	2	1.0	1.0	0.077	3'-PRDX5-chr11-64321810-0.0	5'-MTURN-chr7-30157513-0.154
CTD-2033A16.3--HSPB1	2	1.0	1.0	0.2	3'-HSPB1-chr7-76304292-0.0	5'-CTD-2033A16.3-chr16-69727174-0.4
POLR3D--TNFAIP8L1	2	1.0	1.0	0.124	3'-TNFAIP8L1-chr19-4653942-0.222	5'-POLR3D-chr8-22250452-0.026
PHF20L1--PPAP2C	2	1.0	1.0	0.007	3'-PPAP2C-chr19-291403-0.006	5'-PHF20L1-chr8-132817546-0.008
EIF5A--VIM	2	1.0	1.0	0.0	3'-VIM-chr10-17237585-0.0	5'-EIF5A-chr17-7307649-0.0
FAM3C2--NUP98	2	1.0	1.0	0.346	3'-NUP98-chr11-3676120-0.025	5'-FAM3C2-chrX-23076150-0.667
RORA--ANXA2	2	1.0	0.812	0.037	3'-ANXA2-chr15-60364525-0.0	5'-RORA-chr15-61229235-0.074
GORASP1--RPL5	2	0.992	1.0	0.013	3'-RPL5-chr1-92841923-0.0	5'-GORASP1-chr3-39107627-0.027
PDAP1--EHMT2	2	0.95	1.0	0.01	3'-EHMT2-chr6-31884929-0.018	5'-PDAP1-chr7-99408597-0.002
FTH1--AKAP9	2	0.921	0.812	0.003	3'-AKAP9-chr7-91940889-0.005	5'-FTH1-chr11-61967631-0.0
RPS29--DNAJC16	2	0.85	0.787	0.04	3'-DNAJC16-chr1-15571013-0.08	5'-RPS29-chr14-49586837-0.0
CYCS--NEAT1	2	0.833	1.0	0.01	3'-NEAT1-chr11-65440842-0.018	5'-CYCS-chr7-25125266-0.003
SEC61A1--UBE2J2	1	1.0	1.0	0.005	3'-UBE2J2-chr1-1273753-0.009	5'-SEC61A1-chr3-128052488-0.001
GBP2--GNB1	1	1.0	1.0	0.038	3'-GNB1-chr1-1839246-0.006	5'-GBP2-chr1-89128644-0.071
GNB1--TPST1	1	1.0	1.0	0.004	3'-TPST1-chr7-66356871-0.002	5'-GNB1-chr1-1839240-0.006
DNAJC11--CAMTA1	1	1.0	1.0	0.007	3'-CAMTA1-chr1-6872012-0.001	5'-DNAJC11-chr1-6701804-0.013
PACS1--CAMTA1	1	1.0	1.0	0.011	3'-CAMTA1-chr1-6872038-0.001	5'-PACS1-chr11-66070404-0.02
PIP5K1A--ENO1	1	1.0	1.0	0.003	3'-ENO1-chr1-8878692-0.0	5'-PIP5K1A-chr1-151198879-0.006
DDX17--ENO1	1	1.0	1.0	0.003	3'-ENO1-chr1-8866346-0.0	5'-DDX17-chr22-38506309-0.005
WASF2--CLSTN1	1	1.0	1.0	0.005	3'-CLSTN1-chr1-9773397-0.008	5'-WASF2-chr1-27490106-0.002
PSMG1--CTNNBIP1	1	1.0	1.0	0.005	3'-CTNNBIP1-chr1-9877991-0.006	5'-PSMG1-chr21-39183414-0.003
NMNAT1--TINAGL1	1	1.0	1.0	0.028	3'-TINAGL1-chr1-31587684-0.038	5'-NMNAT1-chr1-9981054-0.019
EXOSC10--UBE4B	1	1.0	1.0	0.009	3'-UBE4B-chr1-10145039-0.012	5'-EXOSC10-chr1-11066750-0.007
NPAT--MTOR	1	1.0	1.0	0.019	3'-MTOR-chr1-11116427-0.02	5'-NPAT-chr11-108167717-0.019
PRAMEF1--MTOR	1	1.0	1.0	0.51	3'-MTOR-chr1-11262506-0.02	5'-PRAMEF1-chr1-12792184-1.0
ASPH--FBXO2	1	1.0	1.0	0.0	3'-FBXO2-chr1-11650698-0.0	5'-ASPH-chr8-61714549-0.0
PLOD1--CLIC4	1	1.0	1.0	0.001	3'-CLIC4-chr1-24841789-0.001	5'-PLOD1-chr1-11967076-0.001
BIVM--VPS13D	1	1.0	1.0	0.053	3'-VPS13D-chr1-12282791-0.015	5'-BIVM-chr13-102841536-0.091
DHRS3--GPR158	1	1.0	1.0	0.035	3'-GPR158-chr10-25466721-0.067	5'-DHRS3-chr1-12579412-0.002
STAT3--DHRS3	1	1.0	1.0	0.002	3'-DHRS3-chr1-12579415-0.002	5'-STAT3-chr17-42388373-0.002
C22orf46--DNAJC16	1	1.0	1.0	0.044	3'-DNAJC16-chr1-15571731-0.04	5'-C22orf46-chr22-41689111-0.048
FBLIM1--XPNPEP3	1	1.0	1.0	0.021	3'-XPNPEP3-chr22-40931708-0.028	5'-FBLIM1-chr1-15784763-0.015
CUL3--IFFO2	1	1.0	1.0	0.03	3'-IFFO2-chr1-18955944-0.042	5'-CUL3-chr2-224585385-0.019
UBR4--CALD1	1	1.0	1.0	0.006	3'-CALD1-chr7-134967895-0.001	5'-UBR4-chr1-19142883-0.011
MINOS1--CAPZB	1	1.0	0.5	0.001	3'-CAPZB-chr1-19385628-0.001	5'-MINOS1-chr1-19597111-0.0
XPO1--CAMK2N1	1	1.0	1.0	0.026	3'-CAMK2N1-chr1-20482879-0.048	5'-XPO1-chr2-61538264-0.004
UBE2H--DDOST	1	1.0	1.0	0.003	3'-DDOST-chr1-20653776-0.001	5'-UBE2H-chr7-129952920-0.004
EMG1--DDOST	1	1.0	1.0	0.002	3'-DDOST-chr1-20661370-0.001	5'-EMG1-chr12-6976463-0.002
ZNF155--DDOST	1	1.0	1.0	0.042	3'-DDOST-chr1-20661385-0.001	5'-ZNF155-chr19-43968082-0.083
DDOST--LIG3	1	1.0	1.0	0.015	3'-LIG3-chr17-35010512-0.029	5'-DDOST-chr1-20661369-0.001
DDOST--ST6GALNAC2	1	1.0	1.0	0.002	3'-ST6GALNAC2-chr17-76565349-0.002	5'-DDOST-chr1-20661379-0.001
UBA52--DDOST	1	1.0	1.0	0.001	3'-DDOST-chr1-20661365-0.001	5'-UBA52-chr19-18575239-0.0
DDOST--TES	1	1.0	1.0	0.003	3'-TES-chr7-116258781-0.005	5'-DDOST-chr1-20661370-0.001
CMB9-22P13.1--HP1BP3	1	1.0	1.0	0.004	3'-HP1BP3-chr1-20743835-0.002	5'-CMB9-22P13.1-chr11-65455772-0.006
ATG9A--HP1BP3	1	1.0	1.0	0.005	3'-HP1BP3-chr1-20773612-0.002	5'-ATG9A-chr2-219229618-0.009
ZHX2--HP1BP3	1	1.0	1.0	0.036	3'-HP1BP3-chr1-20743820-0.002	5'-ZHX2-chr8-122809216-0.071
HP1BP3--DCAF10	1	1.0	1.0	0.013	3'-DCAF10-chr9-37865226-0.023	5'-HP1BP3-chr1-20786646-0.002
RBM3--HP1BP3	1	1.0	1.0	0.002	3'-HP1BP3-chr1-20765509-0.002	5'-RBM3-chrX-48578283-0.002
ZNF521--HP1BP3	1	1.0	1.0	0.005	3'-HP1BP3-chr1-20773612-0.002	5'-ZNF521-chr18-25352051-0.007
HP1BP3--PTPN14	1	1.0	1.0	0.006	3'-PTPN14-chr1-214356177-0.01	5'-HP1BP3-chr1-20779875-0.002
ZNF431--EIF4G3	1	1.0	1.0	0.051	3'-EIF4G3-chr1-20859733-0.011	5'-ZNF431-chr19-21166980-0.091
C14orf93--ECE1	1	1.0	1.0	0.022	3'-ECE1-chr1-21345531-0.005	5'-C14orf93-chr14-22990099-0.04
HIST1H4A--RPL11	1	1.0	1.0	0.5	3'-RPL11-chr1-23696397-0.0	5'-HIST1H4A-chr6-26021810-1.0
MPP5--SRSF10	1	1.0	1.0	0.008	3'-SRSF10-chr1-23970419-0.002	5'-MPP5-chr14-67241983-0.014
SRSF10--ACBD5	1	1.0	1.0	0.007	3'-ACBD5-chr10-27195956-0.012	5'-SRSF10-chr1-23980369-0.002
CLIC4--SPATA5	1	1.0	1.0	0.009	3'-SPATA5-chr4-123315605-0.016	5'-CLIC4-chr1-24827054-0.001
STMN1--TRIP12	1	1.0	1.0	0.002	3'-TRIP12-chr2-229921955-0.004	5'-STMN1-chr1-25901551-0.0
PTPN12--ZDHHC18	1	1.0	1.0	0.024	3'-ZDHHC18-chr1-26855713-0.04	5'-PTPN12-chr7-77537333-0.007
PRR34--STX12	1	1.0	1.0	0.009	3'-STX12-chr1-27822691-0.009	5'-PRR34-chr22-46057175-0.008
RCC1--SLC2A6	1	1.0	1.0	0.01	3'-SLC2A6-chr9-133471353-0.017	5'-RCC1-chr1-28509218-0.003
SRSF4--MTF2	1	1.0	1.0	0.006	3'-MTF2-chr1-93092046-0.007	5'-SRSF4-chr1-29178406-0.005
HARBI1--KPNA6	1	1.0	1.0	0.028	3'-KPNA6-chr1-32176563-0.006	5'-HARBI1-chr11-46617709-0.05
EIF3I--EHD2	1	1.0	1.0	0.003	3'-EHD2-chr19-47743133-0.005	5'-EIF3I-chr1-32231212-0.001
EIF3I--LSM5	1	1.0	1.0	0.001	3'-LSM5-chr7-32485712-0.001	5'-EIF3I-chr1-32231010-0.001
EIF3I--C14orf159	1	1.0	1.0	0.003	3'-C14orf159-chr14-91185116-0.005	5'-EIF3I-chr1-32231601-0.001
TRIM13--ZBTB8OS	1	1.0	1.0	0.011	3'-ZBTB8OS-chr1-32650550-0.004	5'-TRIM13-chr13-50001957-0.018
NKTR--SFPQ	1	1.0	1.0	0.011	3'-SFPQ-chr1-35178037-0.008	5'-NKTR-chr3-42601066-0.015
SFPQ--KIAA0319L	1	1.0	1.0	0.011	3'-KIAA0319L-chr1-35459345-0.014	5'-SFPQ-chr1-35187249-0.008
PSMB2--PFDN2	1	1.0	0.5	0.001	3'-PFDN2-chr1-161100680-0.001	5'-PSMB2-chr1-35641543-0.001
RP11-343C2.11--TRAPPC3	1	1.0	1.0	0.021	3'-TRAPPC3-chr1-36149470-0.001	5'-RP11-343C2.11-chr16-69300977-0.04
THRAP3--TVP23C	1	1.0	1.0	0.029	3'-TVP23C-chr17-15503234-0.056	5'-THRAP3-chr1-36287270-0.001
ZNF830--CDCA8	1	1.0	1.0	0.014	3'-CDCA8-chr1-37709557-0.01	5'-ZNF830-chr17-34962035-0.017
FOPNL--SF3A3	1	1.0	1.0	0.003	3'-SF3A3-chr1-37990003-0.005	5'-FOPNL-chr16-15867096-0.001
ZMPSTE24--CARHSP1	1	1.0	1.0	0.004	3'-CARHSP1-chr16-8862194-0.003	5'-ZMPSTE24-chr1-40258394-0.004
DUSP11--FOXJ3	1	1.0	1.0	0.011	3'-FOXJ3-chr1-42227968-0.014	5'-DUSP11-chr2-73780095-0.007
DNAAF2--IPO13	1	1.0	1.0	0.018	3'-IPO13-chr1-43967752-0.029	5'-DNAAF2-chr14-49633980-0.006
CCDC24--FAM49B	1	1.0	1.0	0.025	3'-FAM49B-chr8-129845905-0.002	5'-CCDC24-chr1-43993192-0.048
KIF2C--KANK1	1	1.0	1.0	0.009	3'-KANK1-chr9-734107-0.012	5'-KIF2C-chr1-44755292-0.005
ABCB8--UQCRH	1	1.0	1.0	0.004	3'-UQCRH-chr1-46316773-0.0	5'-ABCB8-chr7-151028990-0.007
RCN2--FAF1	1	1.0	1.0	0.007	3'-FAF1-chr1-50655530-0.012	5'-RCN2-chr15-76931987-0.001
RNF11--ARFRP1	1	1.0	1.0	0.008	3'-ARFRP1-chr20-63701902-0.011	5'-RNF11-chr1-51273443-0.005
CYP51A1--RNF11	1	1.0	1.0	0.004	3'-RNF11-chr1-51271787-0.005	5'-CYP51A1-chr7-92134488-0.003
ATP2B4--OSBPL9	1	1.0	1.0	0.005	3'-OSBPL9-chr1-51788395-0.004	5'-ATP2B4-chr1-203627219-0.007
NINJ1--ORC1	1	1.0	1.0	0.027	3'-ORC1-chr1-52385950-0.053	5'-NINJ1-chr9-93134251-0.001
TMEM59--PCMTD1	1	1.0	1.0	0.004	3'-PCMTD1-chr8-51899056-0.006	5'-TMEM59-chr1-54043525-0.001
LEPROT--HDGF	1	1.0	1.0	0.004	3'-HDGF-chr1-156743761-0.004	5'-LEPROT-chr1-65433802-0.003
MIER1--KTN1	1	1.0	1.0	0.003	3'-KTN1-chr14-55672680-0.0	5'-MIER1-chr1-66959744-0.005
AKR1B1--SERBP1	1	1.0	1.0	0.001	3'-SERBP1-chr1-67425125-0.001	5'-AKR1B1-chr7-134459100-0.0
FTH1--SRSF11	1	1.0	1.0	0.003	3'-SRSF11-chr1-70244806-0.005	5'-FTH1-chr11-61967631-0.0
GNG5--SERPINE2	1	1.0	1.0	0.0	3'-SERPINE2-chr2-223975727-0.0	5'-GNG5-chr1-84506170-0.0
SSX2IP--SMC2	1	1.0	1.0	0.005	3'-SMC2-chr9-104135344-0.004	5'-SSX2IP-chr1-84671310-0.006
