#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
TUBB1--SMURF1	92	0.976	0.476	0.907	3'-SMURF1-chr7-99027441-0.929	5'-TUBB1-chr20-59019253-0.885
PDCL--GRB2	94	0.964	0.484	0.875	3'-GRB2-chr17-75393802-0.879	5'-PDCL-chr9-122818345-0.87
KLRC3--ASB4	88	0.894	0.576	0.896	3'-ASB4-chr7-95528801-0.946	5'-KLRC3-chr12-10419863-0.846
C12orf50--DDX4	76	0.963	0.497	0.895	3'-DDX4-chr5-55817156-0.974	5'-C12orf50-chr12-87996568-0.817
MEF2BNB--MYH13	78	0.956	0.559	0.855	3'-MYH13-chr17-10312756-0.975	5'-MEF2BNB-chr19-19192412-0.736
SLC6A12--BOC	72	0.927	0.509	0.792	3'-BOC-chr3-113252004-0.923	5'-SLC6A12-chr12-201762-0.661
METTL18--PRDM4	67	0.954	0.652	0.827	3'-PRDM4-chr12-107751775-0.698	5'-METTL18-chr1-169792528-0.957
FBXO33--FBN2	63	0.99	0.578	0.683	3'-FBN2-chr5-128258037-0.724	5'-FBXO33-chr14-39431563-0.643
NTN5--SH3RF1	58	0.945	0.528	0.907	3'-SH3RF1-chr4-169096684-0.892	5'-NTN5-chr19-48664142-0.921
CCL22--CCDC74A	61	0.802	0.649	0.808	3'-CCDC74A-chr2-131533665-1.0	5'-CCL22-chr16-57358771-0.616
RAB17--TTC28	48	0.912	0.54	0.73	3'-TTC28-chr22-28030225-0.632	5'-RAB17-chr2-237575132-0.828
PFN1--LAS1L	51	0.872	0.517	0.72	3'-LAS1L-chrX-65518465-1.0	5'-PFN1-chr17-4948263-0.44
FOXA2--GDF11	48	0.948	0.458	0.881	3'-GDF11-chr12-55748585-0.857	5'-FOXA2-chr20-22584193-0.906
GPC4--JPH2	49	0.979	0.538	0.901	3'-JPH2-chr20-44111696-0.942	5'-GPC4-chrX-133415490-0.86
PSMF1--TUBB	45	0.955	0.541	0.918	3'-TUBB-chr6-30725423-0.918	5'-PSMF1-chr20-1118903-0.918
PRDM7--KCNJ3	45	0.943	0.666	0.849	3'-KCNJ3-chr2-154858348-0.833	5'-PRDM7-chr16-90062325-0.865
ACTR6--AIMP1	38	0.964	0.491	0.896	3'-AIMP1-chr4-106349220-1.0	5'-ACTR6-chr12-100199121-0.792
CWH43--COLEC12	39	0.855	0.51	0.717	3'-COLEC12-chr18-320065-1.0	5'-CWH43-chr4-48992090-0.433
RIMKLA--WDR72	30	1.039	0.577	0.663	3'-WDR72-chr15-53733182-0.789	5'-RIMKLA-chr1-42422577-0.536
CD7--MYCL	34	0.852	0.633	0.881	3'-MYCL-chr1-39901445-0.791	5'-CD7-chr17-82317550-0.971
DHPS--RP5-877J2.1	29	0.957	0.732	0.802	3'-RP5-877J2.1-chr7-30923810-1.0	5'-DHPS-chr19-12681211-0.604
RAPSN--DFFA	28	0.972	0.536	0.735	3'-DFFA-chr1-10456523-0.622	5'-RAPSN-chr11-47447811-0.848
GIPC3--SNAPC2	29	0.857	0.569	0.634	3'-SNAPC2-chr19-7922656-0.967	5'-GIPC3-chr19-3586997-0.302
TEK--UGT1A1	27	0.911	0.532	0.851	3'-UGT1A1-chr2-233772259-0.931	5'-TEK-chr9-27173361-0.771
CNN1--TRIML2	27	0.836	0.495	0.759	3'-TRIML2-chr4-188091940-0.931	5'-CNN1-chr19-11547907-0.587
GAS2L3--C3orf33	25	0.903	0.554	0.831	3'-C3orf33-chr3-155762616-0.926	5'-GAS2L3-chr12-100600551-0.735
STOML3--RAB5C	27	0.879	0.482	0.722	3'-RAB5C-chr17-42125899-1.0	5'-STOML3-chr13-38991066-0.443
KIR3DL2--HUNK	22	0.899	0.556	0.686	3'-HUNK-chr21-31924761-0.415	5'-KIR3DL2-chr19-54866960-0.957
ODF3L1--SCYL3	18	0.807	0.463	0.569	3'-SCYL3-chr1-169894267-0.191	5'-ODF3L1-chr15-75727685-0.947
SPATA25--KLK4	13	0.899	0.633	0.586	3'-KLK4-chr19-50909413-0.171	5'-SPATA25-chr20-45887635-1.0
C19orf43--HEPHL1	12	0.951	0.554	0.923	3'-HEPHL1-chr11-94113749-0.923	5'-C19orf43-chr19-12734311-0.923
SLC35A2--KRT24	13	0.868	0.646	0.473	3'-KRT24-chr17-40700384-0.133	5'-SLC35A2-chrX-48911958-0.812
ARL5C--PXDNL	12	0.833	0.704	0.488	3'-PXDNL-chr8-51319578-0.308	5'-ARL5C-chr17-39165760-0.667
MRPS23--CALCB	9	0.981	0.622	0.859	3'-CALCB-chr11-15082342-0.9	5'-MRPS23-chr17-57850056-0.818
OXT--SETD7	10	0.803	0.522	0.75	3'-SETD7-chr4-139533368-0.833	5'-OXT-chr20-3071619-0.667
FADS6--AC009336.19	8	1.0	0.662	0.764	3'-AC009336.19-chr2-176173085-0.727	5'-FADS6-chr17-74882704-0.8
CD63--EFNA1	8	0.992	0.772	0.554	3'-EFNA1-chr1-155134857-0.381	5'-CD63-chr12-55726966-0.727
GMFG--ZNF708	9	0.803	0.631	0.566	3'-ZNF708-chr19-21329410-0.132	5'-GMFG-chr19-39328364-1.0
JTB--NTN3	8	0.899	0.578	0.75	3'-NTN3-chr16-2474141-1.0	5'-JTB-chr1-153976692-0.5
ANKS4B--GPD2	8	0.954	0.541	1.0	3'-GPD2-chr2-156583195-1.0	5'-ANKS4B-chr16-21233664-1.0
MED1--ERRFI1	9	0.801	0.689	0.539	3'-ERRFI1-chr1-8026308-0.078	5'-MED1-chr17-39447903-1.0
SUCNR1--ZNF721	7	0.963	0.504	0.818	3'-ZNF721-chr4-474167-1.0	5'-SUCNR1-chr3-151880557-0.636
NLRX1--CDC5L	5	1.0	0.69	1.0	3'-CDC5L-chr6-44450427-1.0	5'-NLRX1-chr11-119171473-1.0
FAM71E1--PATL1	5	1.0	0.545	0.857	3'-PATL1-chr11-59656595-0.714	5'-FAM71E1-chr19-50467555-1.0
TRAV20--LINC01460	5	0.883	0.515	0.778	3'-LINC01460-chr2-27708493-0.556	5'-TRAV20-chr14-22040714-1.0
PHYHIPL--DLX2	4	0.917	0.613	1.0	3'-DLX2-chr2-172101646-1.0	5'-PHYHIPL-chr10-59176959-1.0
CCL18--HEPACAM2	3	1.0	0.642	0.625	3'-HEPACAM2-chr7-93219451-1.0	5'-CCL18-chr17-36070559-0.25
PRRG2--EDNRB	3	1.0	0.567	1.0	3'-EDNRB-chr13-77898335-1.0	5'-PRRG2-chr19-49583710-1.0
FAM160A2--ADARB1	3	0.95	0.508	1.0	3'-ADARB1-chr21-45114957-1.0	5'-FAM160A2-chr11-6214907-1.0
LCE2A--CCL24	3	0.85	0.708	0.675	3'-CCL24-chr7-75813806-0.75	5'-LCE2A-chr1-152699442-0.6
CTSL--NIM1K	3	1.0	0.592	0.875	3'-NIM1K-chr5-43280838-1.0	5'-CTSL-chr9-87728148-0.75
ERRFI1--CELF1	3	0.819	0.633	0.513	3'-CELF1-chr11-47489024-1.0	5'-ERRFI1-chr1-8026308-0.026
NT5C1B--PTBP3	2	1.0	0.688	0.591	3'-PTBP3-chr9-112333658-0.182	5'-NT5C1B-chr2-18582995-1.0
EFHD1--AAK1	2	1.0	0.788	1.0	3'-AAK1-chr2-69509467-1.0	5'-EFHD1-chr2-232672443-1.0
C6orf211--LMOD3	2	1.0	0.6	0.834	3'-LMOD3-chr3-69120061-0.667	5'-C6orf211-chr6-151464614-1.0
NXNL1--CEP97	2	1.0	0.675	0.834	3'-CEP97-chr3-101765974-1.0	5'-NXNL1-chr19-17460957-0.667
SMARCD1--IRAK1BP1	2	1.0	0.688	0.75	3'-IRAK1BP1-chr6-78903100-0.5	5'-SMARCD1-chr12-50085547-1.0
CCR6--PSAP	2	1.0	0.562	1.0	3'-PSAP-chr10-71851370-1.0	5'-CCR6-chr6-167136035-1.0
MMP1--SLC19A1	2	1.0	0.65	0.273	3'-SLC19A1-chr21-45505278-0.5	5'-MMP1-chr11-102797161-0.045
TAF1--SNX19	2	1.0	0.625	0.834	3'-SNX19-chr11-130916509-0.667	5'-TAF1-chrX-71465981-1.0
TUBB1--CAMKK2	2	1.0	0.838	0.062	3'-CAMKK2-chr12-121240535-0.105	5'-TUBB1-chr20-59022954-0.019
C5orf60--CLDN19	1	1.0	1.0	1.0	3'-CLDN19-chr1-42736032-1.0	5'-C5orf60-chr5-179645007-1.0
UGT1A7--HOOK1	1	1.0	1.0	0.75	3'-HOOK1-chr1-59876350-1.0	5'-UGT1A7-chr2-233767165-0.5
DAP3--KLF4	1	1.0	1.0	0.75	3'-KLF4-chr9-107487190-1.0	5'-DAP3-chr1-155731416-0.5
ILDR1--ADAMTSL1	1	1.0	1.0	0.416	3'-ADAMTSL1-chr9-18890790-0.5	5'-ILDR1-chr3-122007301-0.333
CXCL16--SRD5A1	1	1.0	1.0	0.75	3'-SRD5A1-chr5-6668968-1.0	5'-CXCL16-chr17-4739819-0.5
TNFRSF12A--BVES	1	1.0	1.0	0.5	3'-BVES-chr6-105133587-0.5	5'-TNFRSF12A-chr16-3021686-0.5
SYCN--HMCN2	1	1.0	1.0	0.75	3'-HMCN2-chr9-130407252-1.0	5'-SYCN-chr19-39204266-0.5
INA--REEP3	1	1.0	1.0	1.0	3'-REEP3-chr10-63625123-1.0	5'-INA-chr10-103278276-1.0
PAGR1--GLB1L2	1	1.0	1.0	1.0	3'-GLB1L2-chr11-134376321-1.0	5'-PAGR1-chr16-29819896-1.0
ZNF317--ATP11A	1	1.0	1.0	1.0	3'-ATP11A-chr13-112883594-1.0	5'-ZNF317-chr19-9158074-1.0
RP11-277P12.6--ASB4	1	0.992	1.0	0.505	3'-ASB4-chr7-95528799-0.011	5'-RP11-277P12.6-chr12-10435982-1.0
SLC1A4--CASP1	1	0.9	1.0	0.555	3'-CASP1-chr11-105026356-1.0	5'-SLC1A4-chr2-65018681-0.111
TECTA--WNT9B	1	0.817	1.0	0.505	3'-WNT9B-chr17-46875146-1.0	5'-TECTA-chr11-121165382-0.011
