#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
ZNF74--C1QTNF3	109	1.0	0.678	0.96	3'-C1QTNF3-chr5-34019447-0.948	5'-ZNF74-chr22-20400758-0.973
TWF2--AKR1C4	113	0.972	0.674	0.915	3'-AKR1C4-chr10-5218949-0.974	5'-TWF2-chr3-52239142-0.856
C12orf40--FAM110A	103	1.0	0.658	0.92	3'-FAM110A-chr20-844706-0.912	5'-C12orf40-chr12-39716838-0.928
RHOV--WNT3A	103	0.998	0.657	0.93	3'-WNT3A-chr1-228022663-0.88	5'-RHOV-chr15-40874289-0.981
PYCARD--LSM11	102	0.996	0.69	0.893	3'-LSM11-chr5-157760709-0.843	5'-PYCARD-chr16-31202415-0.944
UBR2--TADA1	99	0.996	0.73	0.934	3'-TADA1-chr1-166856509-0.934	5'-UBR2-chr6-42605859-0.934
C3orf18--HESX1	93	0.996	0.793	0.959	3'-HESX1-chr3-57198390-0.969	5'-C3orf18-chr3-50559740-0.949
SPRYD7--PGLS	95	0.958	0.702	0.917	3'-PGLS-chr19-17521288-0.979	5'-SPRYD7-chr13-49927917-0.856
ZFP92--PBX3	93	0.968	0.775	0.914	3'-PBX3-chr9-125960680-0.959	5'-ZFP92-chrX-153420334-0.869
TSPAN19--C2orf50	89	0.985	0.774	0.939	3'-C2orf50-chr2-11143917-0.899	5'-TSPAN19-chr12-85023324-0.978
LRIT1--KIAA1377	91	0.96	0.79	0.921	3'-KIAA1377-chr11-101997596-1.0	5'-LRIT1-chr10-84241461-0.843
C19orf60--RALYL	87	0.989	0.762	0.922	3'-RALYL-chr8-84921631-0.956	5'-C19orf60-chr19-18588724-0.888
EHD3--TLCD1	87	0.971	0.717	0.925	3'-TLCD1-chr17-28724895-0.989	5'-EHD3-chr2-31234849-0.861
RIN1--FKTN	85	0.993	0.673	0.946	3'-FKTN-chr9-105636238-0.914	5'-RIN1-chr11-66335976-0.977
SERPINB3--FLNC	86	0.974	0.744	0.92	3'-FLNC-chr7-128856516-0.935	5'-SERPINB3-chr18-63658511-0.905
SLC7A3--RCOR2	86	0.994	0.7	0.946	3'-RCOR2-chr11-63911220-0.956	5'-SLC7A3-chrX-70927797-0.935
FLII--SCUBE3	84	1.0	0.758	0.754	3'-SCUBE3-chr6-35232847-0.683	5'-FLII-chr17-18248799-0.824
MRPL54--CCDC144NL	86	0.948	0.809	0.883	3'-CCDC144NL-chr17-20865511-0.789	5'-MRPL54-chr19-3762818-0.977
AOAH--KLHL22	84	0.952	0.613	0.869	3'-KLHL22-chr22-20488984-1.0	5'-AOAH-chr7-36724020-0.737
MAT2B--FANCM	79	0.993	0.813	0.935	3'-FANCM-chr14-45196171-0.963	5'-MAT2B-chr5-163519322-0.908
C16orf78--TNFRSF25	76	0.994	0.782	0.919	3'-TNFRSF25-chr1-6461433-0.974	5'-C16orf78-chr16-49374090-0.864
IFNAR1--GTF2E1	75	0.998	0.745	0.838	3'-GTF2E1-chr3-120783069-0.75	5'-IFNAR1-chr21-33349290-0.926
FCN2--TAP1	75	0.984	0.778	0.924	3'-TAP1-chr6-32848093-0.862	5'-FCN2-chr9-134880807-0.987
FOXL1--CD86	76	0.984	0.786	0.919	3'-CD86-chr3-122055365-0.864	5'-FOXL1-chr16-86578557-0.974
ABL1--IARS2	81	0.991	0.567	0.873	3'-IARS2-chr1-220096098-0.827	5'-ABL1-chr9-130713979-0.92
NLN--TSFM	77	0.961	0.641	0.829	3'-TSFM-chr12-57802856-0.963	5'-NLN-chr5-65792656-0.694
TP73--ERBB4	51	1.471	0.752	0.726	3'-ERBB4-chr2-212124907-0.49	5'-TP73-chr1-3733903-0.962
NUDT21--MTBP	73	0.974	0.748	0.903	3'-MTBP-chr8-120538969-0.986	5'-NUDT21-chr16-56447788-0.82
GLB1L--ADRA1B	74	0.967	0.686	0.906	3'-ADRA1B-chr5-159972544-0.961	5'-GLB1L-chr2-219237510-0.851
GPLD1--STAU2	75	0.958	0.623	0.762	3'-STAU2-chr8-73551642-0.938	5'-GPLD1-chr6-24445723-0.586
UBALD2--TRAC	78	0.873	0.718	0.89	3'-TRAC-chr14-22550664-0.78	5'-UBALD2-chr17-76270383-1.0
TNFRSF17--KIF13B	65	1.0	0.636	0.84	3'-KIF13B-chr8-29067278-0.802	5'-TNFRSF17-chr16-11965106-0.878
SLC13A5--DDX19B	65	0.912	0.749	0.82	3'-DDX19B-chr16-70294776-0.67	5'-SLC13A5-chr17-6703880-0.97
NSUN4--NFE2	61	0.986	0.748	0.452	3'-NFE2-chr12-54293382-0.363	5'-NSUN4-chr1-46353029-0.54
ARID1B--DDB2	62	0.942	0.613	0.828	3'-DDB2-chr11-47239216-0.899	5'-ARID1B-chr6-157174117-0.756
KLK15--NEUROD4	57	0.99	0.757	0.93	3'-NEUROD4-chr12-55026429-0.877	5'-KLK15-chr19-50837213-0.983
SPI1--KIF14	59	0.961	0.832	0.754	3'-KIF14-chr1-200551499-0.557	5'-SPI1-chr11-47378391-0.952
C16orf90--CRK	55	1.0	0.781	0.974	3'-CRK-chr17-1436997-0.948	5'-C16orf90-chr16-3493483-1.0
RPS12--ARHGEF38	57	0.98	0.829	0.974	3'-ARHGEF38-chr4-105682626-0.983	5'-RPS12-chr6-132816564-0.966
IDI2--LATS1	55	1.0	0.781	0.934	3'-LATS1-chr6-149702268-0.887	5'-IDI2-chr10-1024581-0.982
PBDC1--C19orf47	56	0.994	0.739	0.95	3'-C19orf47-chr19-40328551-0.918	5'-PBDC1-chrX-76176992-0.982
TNIP1--FAM198A	53	1.0	0.772	0.964	3'-FAM198A-chr3-43055429-0.946	5'-TNIP1-chr5-151081034-0.981
FMNL1--USF2	55	0.981	0.597	0.73	3'-USF2-chr19-35279308-0.965	5'-FMNL1-chr17-45244028-0.495
SLTM--SMEK1	52	1.0	0.663	0.898	3'-SMEK1-chr14-91458138-0.852	5'-SLTM-chr15-58933579-0.945
WDR54--FAM177A1	54	0.922	0.794	0.822	3'-FAM177A1-chr14-35054991-1.0	5'-WDR54-chr2-74425492-0.643
C20orf141--PHLDB2	49	0.996	0.742	0.98	3'-PHLDB2-chr3-111884061-0.98	5'-C20orf141-chr20-2815444-0.98
CXorf36--NLRP13	50	0.989	0.727	0.981	3'-NLRP13-chr19-55907959-1.0	5'-CXorf36-chrX-45191747-0.962
ZNF229--GLRA2	54	0.898	0.699	0.551	3'-GLRA2-chrX-14607247-0.557	5'-ZNF229-chr19-44442813-0.545
RNGTT--GUCY1A3	50	0.96	0.698	0.955	3'-GUCY1A3-chr4-155722036-1.0	5'-RNGTT-chr6-88963618-0.909
PRH2--PRRC2B	53	0.868	0.818	0.728	3'-PRRC2B-chr9-131447659-0.525	5'-PRH2-chr12-10929337-0.93
KLF2--SLC39A7	47	0.967	0.759	0.961	3'-SLC39A7-chr6-33202692-1.0	5'-KLF2-chr19-16324839-0.922
NT5C1A--BCO2	46	0.984	0.749	0.968	3'-BCO2-chr11-112193995-0.958	5'-NT5C1A-chr1-39659120-0.979
MORC1--CYP11B1	46	0.993	0.676	0.939	3'-CYP11B1-chr8-142875155-0.939	5'-MORC1-chr3-109000556-0.939
PSMD1--IKBKE	45	0.989	0.733	0.948	3'-IKBKE-chr1-206496890-0.938	5'-PSMD1-chr2-231066903-0.957
