#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
UNC5C--CYP3A5	88	1.472	0.719	0.734	3'-CYP3A5-chr7-99648199-0.978	5'-UNC5C-chr4-95549203-0.489
SNX20--AC073610.5	116	1.0	0.826	0.983	3'-AC073610.5-chr12-48939109-0.983	5'-SNX20-chr16-50675768-0.983
TTF1--PTPRT	87	1.283	0.753	0.788	3'-PTPRT-chr20-42791194-0.588	5'-TTF1-chr9-132375620-0.989
FBXO36--SARS	110	1.0	0.814	0.986	3'-SARS-chr1-109238148-0.973	5'-FBXO36-chr2-229976350-1.0
VEGFC--REN	111	1.0	0.841	0.974	3'-REN-chr1-204156797-0.982	5'-VEGFC-chr4-176792727-0.965
KCNJ3--PKN2	106	1.0	0.877	0.883	3'-PKN2-chr1-88786102-0.869	5'-KCNJ3-chr2-154709823-0.898
RPUSD2--BAIAP3	106	1.0	0.882	0.978	3'-BAIAP3-chr16-1344966-0.991	5'-RPUSD2-chr15-40569299-0.964
CLEC4A--KHDRBS2	105	1.0	0.858	0.926	3'-KHDRBS2-chr6-61978212-0.89	5'-CLEC4A-chr12-8136904-0.963
COX10--SHF	105	1.0	0.846	0.968	3'-SHF-chr15-45167229-0.963	5'-COX10-chr17-14069649-0.972
KCNG4--NLRP7	104	0.998	0.753	0.963	3'-NLRP7-chr19-54923508-0.972	5'-KCNG4-chr16-84236727-0.954
ZNF165--SEC23B	102	1.0	0.83	0.972	3'-SEC23B-chr20-18546033-0.962	5'-ZNF165-chr6-28089563-0.981
KPNA7--DCAF5	100	1.0	0.633	0.985	3'-DCAF5-chr14-69091673-0.99	5'-KPNA7-chr7-99207507-0.98
APOH--GABRR1	100	0.999	0.838	0.922	3'-GABRR1-chr6-89190247-0.893	5'-APOH-chr17-66223696-0.952
NUDT12--PPHLN1	98	1.0	0.843	0.908	3'-PPHLN1-chr12-42399000-0.933	5'-NUDT12-chr5-103552418-0.883
