#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
PDCL--GRB2	86	0.938	0.565	0.853	3'-GRB2-chr17-75393803-0.887	5'-PDCL-chr9-122818343-0.819
TUBB1--SMURF1	78	0.984	0.495	0.843	3'-SMURF1-chr7-99027441-0.839	5'-TUBB1-chr20-59019253-0.848
BORCS8--MYH13	71	0.965	0.686	0.879	3'-MYH13-chr17-10312759-0.959	5'-BORCS8-chr19-19192412-0.798
SLC6A12--BOC	72	0.926	0.53	0.826	3'-BOC-chr3-113252004-0.96	5'-SLC6A12-chr12-214120-0.692
METTL18--PRDM4	71	0.894	0.551	0.838	3'-PRDM4-chr12-107743196-0.703	5'-METTL18-chr1-169793900-0.973
FBXO33--FBN2	62	1.0	0.55	0.737	3'-FBN2-chr5-128258040-0.785	5'-FBXO33-chr14-39431564-0.689
KLRC3--ASB4	62	0.891	0.625	0.862	3'-ASB4-chr7-95528798-0.939	5'-KLRC3-chr12-10420550-0.785
C12orf50--DDX4	57	0.949	0.488	0.798	3'-DDX4-chr5-55817156-0.826	5'-C12orf50-chr12-87996568-0.77
CASP3--SMAP2	54	0.909	0.594	0.824	3'-SMAP2-chr1-40422259-0.947	5'-CASP3-chr4-184632267-0.701
NTN5--SH3RF1	46	0.956	0.508	0.887	3'-SH3RF1-chr4-169096685-0.836	5'-NTN5-chr19-48664143-0.939
PSMF1--TUBB	50	0.884	0.532	0.902	3'-TUBB-chr6-30725424-0.862	5'-PSMF1-chr20-1118903-0.943
GPC4--JPH2	46	0.978	0.533	0.869	3'-JPH2-chr20-44111695-0.902	5'-GPC4-chrX-133414803-0.836
PFN1--LAS1L	49	0.892	0.461	0.694	3'-LAS1L-chrX-65518465-0.925	5'-PFN1-chr17-4948263-0.462
CCL22--CCDC74A	45	0.809	0.597	0.73	3'-CCDC74A-chr2-131533664-0.818	5'-CCL22-chr16-57360561-0.643
FOXA2--GDF11	38	0.921	0.566	0.879	3'-GDF11-chr12-55748583-0.809	5'-FOXA2-chr20-22584192-0.95
CWH43--COLEC12	38	0.809	0.518	0.732	3'-COLEC12-chr18-319363-1.0	5'-CWH43-chr4-48992090-0.463
PRDM7--KCNJ3	29	0.986	0.587	0.854	3'-KCNJ3-chr2-154854728-0.829	5'-PRDM7-chr16-90062325-0.879
GAS2L3--C3orf33	28	0.929	0.569	0.8	3'-C3orf33-chr3-155762617-0.933	5'-GAS2L3-chr12-100593617-0.667
TEK--UGT1A1	30	0.908	0.567	0.835	3'-UGT1A1-chr2-233773297-0.938	5'-TEK-chr9-27173362-0.732
GIPC3--SNAPC2	29	0.866	0.599	0.702	3'-SNAPC2-chr19-7922035-1.0	5'-GIPC3-chr19-3585552-0.403
STOML3--RAB5C	26	0.945	0.426	0.747	3'-RAB5C-chr17-42124980-0.963	5'-STOML3-chr13-38968400-0.531
CD7--MYCL	26	0.84	0.608	0.752	3'-MYCL-chr1-39899613-0.542	5'-CD7-chr17-82317550-0.963
CNN1--TRIML2	21	0.896	0.529	0.707	3'-TRIML2-chr4-188091337-0.913	5'-CNN1-chr19-11547906-0.5
KIR3DL2--HUNK	16	0.866	0.622	0.643	3'-HUNK-chr21-31924551-0.444	5'-KIR3DL2-chr19-54866959-0.842
MRPS23--CALCB	15	0.954	0.583	0.938	3'-CALCB-chr11-15082341-0.938	5'-MRPS23-chr17-57840927-0.938
ODF3L1--SCYL3	16	0.862	0.569	0.61	3'-SCYL3-chr1-169894267-0.219	5'-ODF3L1-chr15-75727686-1.0
SPATA25--KLK4	14	0.821	0.705	0.558	3'-KLK4-chr19-50906351-0.184	5'-SPATA25-chr20-45887635-0.933
FADS6--HOXD3	11	0.969	0.62	0.917	3'-HOXD3-chr2-176169027-0.917	5'-FADS6-chr17-74881065-0.917
SUCNR1--ZNF721	10	0.919	0.51	0.871	3'-ZNF721-chr4-474167-0.909	5'-SUCNR1-chr3-151880555-0.833
SLC35A2--KRT24	8	0.879	0.712	0.542	3'-KRT24-chr17-40700382-0.085	5'-SLC35A2-chrX-48911958-1.0
UPK1B--CLCA1	7	1.0	0.564	1.0	3'-CLCA1-chr1-86500257-1.0	5'-UPK1B-chr3-119190323-1.0
CSAD--PTPN7	6	1.0	0.517	0.857	3'-PTPN7-chr1-202150422-0.857	5'-CSAD-chr12-53161274-0.857
KCNV2--PHF21A	6	0.829	0.633	0.928	3'-PHF21A-chr11-46084164-0.857	5'-KCNV2-chr9-2730037-1.0
SMARCD1--IRAK1BP1	3	1.0	0.642	1.0	3'-IRAK1BP1-chr6-78903102-1.0	5'-SMARCD1-chr12-50085546-1.0
PPM1D--ABI1	3	1.0	0.675	1.0	3'-ABI1-chr10-26748745-1.0	5'-PPM1D-chr17-60648079-1.0
DHX16--KCNG4	3	0.914	0.733	0.715	3'-KCNG4-chr16-84222216-1.0	5'-DHX16-chr6-30673037-0.429
IL7R--KCNJ3	3	0.894	0.817	0.543	3'-KCNJ3-chr2-154858350-0.086	5'-IL7R-chr5-35857060-1.0
KIR3DX1--IL1R2	3	0.819	0.792	0.625	3'-IL1R2-chr2-102028544-0.75	5'-KIR3DX1-chr19-54532831-0.5
LHX8--CCDC42	3	0.803	0.642	0.65	3'-CCDC42-chr17-8741665-1.0	5'-LHX8-chr1-75157072-0.3
ZAR1--RPGRIP1	3	0.853	0.642	0.539	3'-RPGRIP1-chr14-21343160-1.0	5'-ZAR1-chr4-48491254-0.079
