#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
ZNF74--C1QTNF3	109	0.981	0.676	0.965	3'-C1QTNF3-chr5-34019447-0.965	5'-ZNF74-chr22-20400758-0.965
SERPINB3--FLNC	103	0.982	0.756	0.916	3'-FLNC-chr7-128856516-0.896	5'-SERPINB3-chr18-63658511-0.936
NUDT21--MTBP	104	0.962	0.683	0.934	3'-MTBP-chr8-120538969-0.972	5'-NUDT21-chr16-56447788-0.897
LRIT1--CEP126	102	0.982	0.786	0.921	3'-CEP126-chr11-101997596-0.971	5'-LRIT1-chr10-84241461-0.872
SLC7A3--RCOR2	101	0.99	0.679	0.911	3'-RCOR2-chr11-63911220-0.935	5'-SLC7A3-chrX-70927797-0.886
UBR2--TADA1	96	0.999	0.786	0.932	3'-TADA1-chr1-166856509-0.95	5'-UBR2-chr6-42605859-0.914
RHOV--WNT3A	96	1.0	0.587	0.912	3'-WNT3A-chr1-228061260-0.865	5'-RHOV-chr15-40874289-0.96
FOXL1--CD86	101	0.956	0.763	0.922	3'-CD86-chr3-122055365-0.863	5'-FOXL1-chr16-86578557-0.981
C3orf18--HESX1	94	0.992	0.742	0.959	3'-HESX1-chr3-57198390-0.959	5'-C3orf18-chr3-50559740-0.959
PYCARD--LSM11	95	1.0	0.633	0.859	3'-LSM11-chr5-157760709-0.748	5'-PYCARD-chr16-31202415-0.969
REX1BD--RALYL	93	0.997	0.712	0.955	3'-RALYL-chr8-84921631-0.979	5'-REX1BD-chr19-18590933-0.93
FCN2--TAP1	92	0.979	0.746	0.935	3'-TAP1-chr6-32845208-0.902	5'-FCN2-chr9-134880807-0.968
TNFRSF17--KIF13B	91	1.0	0.758	0.872	3'-KIF13B-chr8-29110070-0.843	5'-TNFRSF17-chr16-11965455-0.901
AKR1C4--TWF2	92	0.983	0.747	0.912	3'-TWF2-chr3-52239142-0.885	5'-AKR1C4-chr10-5218949-0.939
TSPAN19--C2orf50	90	0.995	0.758	0.928	3'-C2orf50-chr2-11143917-0.9	5'-TSPAN19-chr12-85023324-0.957
C16orf78--TNFRSF25	85	0.991	0.739	0.922	3'-TNFRSF25-chr1-6461433-0.977	5'-C16orf78-chr16-49374090-0.867
RIN1--FKTN	80	1.0	0.725	0.915	3'-FKTN-chr9-105636238-0.899	5'-RIN1-chr11-66336529-0.93
ZFP92--PBX3	83	0.956	0.727	0.956	3'-PBX3-chr9-125960680-1.0	5'-ZFP92-chrX-153420334-0.912
EHD3--TLCD1	80	0.978	0.661	0.903	3'-TLCD1-chr17-28724895-0.964	5'-EHD3-chr2-31234849-0.842
ARID1B--DDB2	81	0.995	0.604	0.856	3'-DDB2-chr11-47239216-0.976	5'-ARID1B-chr6-157174117-0.736
GLB1L--ADRA1B	79	0.976	0.692	0.881	3'-ADRA1B-chr5-159972544-0.963	5'-GLB1L-chr2-219237510-0.798
FLII--SCUBE3	81	1.0	0.723	0.756	3'-SCUBE3-chr6-35232847-0.686	5'-FLII-chr17-18248799-0.827
NLN--TSFM	79	0.969	0.629	0.867	3'-TSFM-chr12-57802856-0.988	5'-NLN-chr5-65792656-0.745
C12orf40--FAM110A	75	1.0	0.694	0.839	3'-FAM110A-chr20-846279-0.862	5'-C12orf40-chr12-39716838-0.815
MRPL54--CCDC144NL	78	0.921	0.809	0.904	3'-CCDC144NL-chr17-20865511-0.821	5'-MRPL54-chr19-3762704-0.987
DIPK2B--NLRP13	72	0.993	0.758	0.954	3'-NLRP13-chr19-55907959-0.96	5'-DIPK2B-chrX-45191747-0.947
MAT2B--FANCM	72	0.987	0.727	0.907	3'-FANCM-chr14-45198936-0.986	5'-MAT2B-chr5-163511999-0.828
GPLD1--STAU2	71	0.984	0.599	0.732	3'-STAU2-chr8-73551642-0.866	5'-GPLD1-chr6-24445723-0.597
IFNAR1--GTF2E1	68	0.989	0.677	0.867	3'-GTF2E1-chr3-120776420-0.791	5'-IFNAR1-chr21-33349290-0.944
ABL1--IARS2	67	0.994	0.699	0.768	3'-IARS2-chr1-220096098-0.698	5'-ABL1-chr9-130714455-0.838
SPRYD7--PGLS	64	0.968	0.69	0.89	3'-PGLS-chr19-17521288-1.0	5'-SPRYD7-chr13-49927917-0.78
TP73--ERBB4	46	1.459	0.688	0.74	3'-ERBB4-chr2-212124906-0.479	5'-TP73-chr1-3733903-1.0
C16orf90--CRK	62	0.98	0.719	0.932	3'-CRK-chr17-1456149-0.925	5'-C16orf90-chr16-3494879-0.939
WDR54--FAM177A1	70	0.884	0.791	0.862	3'-FAM177A1-chr14-35054991-0.946	5'-WDR54-chr2-74421728-0.778
UNC93A--CCDC42	59	0.989	0.703	0.954	3'-CCDC42-chr17-8741672-1.0	5'-UNC93A-chr6-167294699-0.908
RPS12--ARHGEF38	58	0.983	0.787	0.983	3'-ARHGEF38-chr4-105682626-0.983	5'-RPS12-chr6-132816564-0.983
TNIP1--GASK1A	56	0.998	0.736	0.925	3'-GASK1A-chr3-43055429-0.918	5'-TNIP1-chr5-151081034-0.933
SPI1--KIF14	59	0.951	0.728	0.789	3'-KIF14-chr1-200554607-0.596	5'-SPI1-chr11-47378391-0.983
ZNF229--GLRA2	61	0.892	0.696	0.612	3'-GLRA2-chrX-14607247-0.663	5'-ZNF229-chr19-44442813-0.56
FMR1--CYB5R2	54	0.987	0.706	0.964	3'-CYB5R2-chr11-7665103-0.982	5'-FMR1-chrX-147928393-0.947
PBDC1--C19orf47	53	0.988	0.793	0.934	3'-C19orf47-chr19-40321062-0.869	5'-PBDC1-chrX-76176992-1.0
PSMD1--IKBKE	50	1.0	0.797	0.944	3'-IKBKE-chr1-206496890-0.926	5'-PSMD1-chr2-231067111-0.962
ATP6AP2--GPC1	50	0.996	0.702	0.909	3'-GPC1-chr2-240466056-0.909	5'-ATP6AP2-chrX-40598736-0.909
AOAH--KLHL22	54	0.919	0.642	0.81	3'-KLHL22-chr22-20489246-1.0	5'-AOAH-chr7-36724020-0.621
TRAC--UBALD2	53	0.927	0.746	0.804	3'-UBALD2-chr17-76270383-1.0	5'-TRAC-chr14-22550664-0.609
NSUN4--NFE2	50	0.972	0.737	0.386	3'-NFE2-chr12-54293382-0.305	5'-NSUN4-chr1-46353029-0.467
IQCF2--STIL	49	0.978	0.825	0.908	3'-STIL-chr1-47250141-0.891	5'-IQCF2-chr3-51861950-0.925
KLF2--SLC39A7	50	0.927	0.744	0.921	3'-SLC39A7-chr6-33202260-0.98	5'-KLF2-chr19-16324839-0.862
KREMEN2--ZNF281	48	1.0	0.713	0.901	3'-ZNF281-chr1-200409721-0.842	5'-KREMEN2-chr16-2964274-0.96
MORC1--CYP11B1	47	1.0	0.664	0.863	3'-CYP11B1-chr8-142875155-0.855	5'-MORC1-chr3-109000556-0.87
ASB10--TGIF2	45	0.977	0.791	0.902	3'-TGIF2-chr20-36591923-1.0	5'-ASB10-chr7-151186814-0.804
PCDHAC2--TRPV1	46	0.999	0.625	0.804	3'-TRPV1-chr17-3590251-0.92	5'-PCDHAC2-chr5-141012344-0.687
DCTN6--RAB19	44	0.993	0.749	0.948	3'-RAB19-chr7-140426250-0.978	5'-DCTN6-chr8-30179455-0.917
DDX19B--SLC13A5	49	0.886	0.63	0.772	3'-SLC13A5-chr17-6703880-0.961	5'-DDX19B-chr16-70330071-0.583
C20orf141--PHLDB2	43	1.0	0.802	0.926	3'-PHLDB2-chr3-111885795-0.956	5'-C20orf141-chr20-2815010-0.896
SLTM--PPP4R3A	44	1.0	0.697	0.88	3'-PPP4R3A-chr14-91458138-0.88	5'-SLTM-chr15-58933579-0.88
IDI2--LATS1	43	0.995	0.826	0.966	3'-LATS1-chr6-149702268-0.956	5'-IDI2-chr10-1024581-0.977
MIOX--RNF216	45	0.969	0.622	0.895	3'-RNF216-chr7-5781739-0.833	5'-MIOX-chr22-50487883-0.957
KLK15--NEUROD4	44	0.994	0.683	0.937	3'-NEUROD4-chr12-55026429-0.917	5'-KLK15-chr19-50837213-0.957
NT5C1A--BCO2	42	0.974	0.76	0.988	3'-BCO2-chr11-112193473-0.977	5'-NT5C1A-chr1-39659120-1.0
ACE2--PPP2R3A	41	1.0	0.652	0.855	3'-PPP2R3A-chr3-136147891-0.837	5'-ACE2-chrX-15572199-0.872
BX470111.1--TMPRSS11B	37	1.0	0.78	0.845	3'-TMPRSS11B-chr4-68228886-0.949	5'-BX470111.1-chrX-155063963-0.74
FMNL1--USF2	42	0.961	0.595	0.744	3'-USF2-chr19-35279307-0.955	5'-FMNL1-chr17-45244030-0.532
ZNF676--AARS1	37	1.0	0.567	0.915	3'-AARS1-chr16-70252294-0.881	5'-ZNF676-chr19-22196952-0.949
SRRT--SLC30A7	37	0.986	0.765	0.761	3'-SLC30A7-chr1-100912110-0.597	5'-SRRT-chr7-100882241-0.925
HERC1--TEAD2	42	0.846	0.689	0.63	3'-TEAD2-chr19-49348702-0.913	5'-HERC1-chr15-63654117-0.347
GPS2--TM2D3	36	0.973	0.705	0.9	3'-TM2D3-chr15-101650161-0.8	5'-GPS2-chr17-7311347-1.0
DEFB128--SLC16A1	35	0.966	0.701	0.837	3'-SLC16A1-chr1-112929355-0.729	5'-DEFB128-chr20-189682-0.946
KLRC1--GPR37L1	35	0.963	0.659	0.865	3'-GPR37L1-chr1-202127740-0.875	5'-KLRC1-chr12-10447529-0.854
PCED1A--KPNA6	33	0.93	0.697	0.851	3'-KPNA6-chr1-32108037-0.702	5'-PCED1A-chr20-2838749-1.0
LONP1--TXLNA	30	1.0	0.726	0.754	3'-TXLNA-chr1-32187953-0.652	5'-LONP1-chr19-5720572-0.857
RNGTT--GUCY1A1	30	0.976	0.663	0.916	3'-GUCY1A1-chr4-155722569-1.0	5'-RNGTT-chr6-88963618-0.833
SDR9C7--GPLD1	28	0.993	0.774	0.428	3'-GPLD1-chr6-24466819-0.235	5'-SDR9C7-chr12-56929389-0.622
LRRC17--GLRA2	29	0.893	0.778	0.487	3'-GLRA2-chrX-14581181-0.315	5'-LRRC17-chr7-102939586-0.659
VAT1--RCAN2	28	0.897	0.747	0.826	3'-RCAN2-chr6-46491972-0.651	5'-VAT1-chr17-43015917-1.0
MLNR--SLC33A1	25	0.928	0.637	0.801	3'-SLC33A1-chr3-155854429-0.641	5'-MLNR-chr13-49222377-0.962
IMPA1--CYB5R4	23	0.938	0.661	0.746	3'-CYB5R4-chr6-83859642-0.639	5'-IMPA1-chr8-81680784-0.852
OTOP2--LCT	19	1.0	0.783	0.975	3'-LCT-chr2-135818062-1.0	5'-OTOP2-chr17-74927281-0.95
NUDT5--ANKRD13B	21	0.819	0.84	0.769	3'-ANKRD13B-chr17-29608848-1.0	5'-NUDT5-chr10-12195869-0.538
CA4--APPBP2	17	0.991	0.729	0.679	3'-APPBP2-chr17-60479161-0.944	5'-CA4-chr17-60158446-0.415
TNFSF14--POLDIP3	15	1.0	0.598	0.568	3'-POLDIP3-chr22-42614869-0.652	5'-TNFSF14-chr19-6664554-0.484
EOLA1--LAMP5	13	0.99	0.735	0.965	3'-LAMP5-chr20-9530524-1.0	5'-EOLA1-chrX-149546917-0.929
ST6GALNAC1--CFAP43	13	0.982	0.74	0.898	3'-CFAP43-chr10-104131489-0.929	5'-ST6GALNAC1-chr17-76627167-0.867
FOSB--AADACL2	12	1.0	0.781	0.89	3'-AADACL2-chr3-151740644-0.923	5'-FOSB-chr19-45470950-0.857
CTIF--ZNF263	12	1.0	0.729	0.928	3'-ZNF263-chr16-3286885-1.0	5'-CTIF-chr18-48636685-0.857
FAM166A--BMI1	12	1.0	0.835	1.0	3'-BMI1-chr10-22329128-1.0	5'-FAM166A-chr9-137245854-1.0
PRRG3--ST3GAL2	12	1.0	0.685	1.0	3'-ST3GAL2-chr16-70382927-1.0	5'-PRRG3-chrX-151698306-1.0
ALS2CL--TRPC7	11	1.0	0.884	0.917	3'-TRPC7-chr5-136357385-0.917	5'-ALS2CL-chr3-46669188-0.917
BICRAL--CDC42SE2	11	1.0	0.559	0.959	3'-CDC42SE2-chr5-131390990-0.917	5'-BICRAL-chr6-42857239-1.0
